date,year,quarter,hosr,FEDFUNDS,MSPUS,GDPC1,PAYEMS,CPIAUCSL,UNRATE,UMCSENT,DSPIC96,PERMIT,ICSA,SP500
1997-07-01,1997,Q3,65.8,5.533333333333334,145000.0,11622.911,123263.0,160.79999999999998,4.866666666666667,105.83333333333333,8307.566666666668,1461.0,322538.46153846156,929.944374109375
1997-10-01,1997,Q4,65.8,5.506666666666667,144200.0,11722.722,124237.66666666667,161.66666666666666,4.666666666666667,104.96666666666665,8429.9,1474.6666666666667,312769.23076923075,951.37906359375
1998-01-01,1998,Q1,66.0,5.52,152200.0,11839.876,124997.33333333333,162.0,4.633333333333333,107.83333333333333,8607.366666666667,1602.3333333333333,318615.3846153846,1023.0900048688524
1998-04-01,1998,Q2,66.1,5.5,149500.0,11949.492,125787.33333333333,162.53333333333333,4.3999999999999995,106.93333333333334,8725.733333333334,1550.6666666666667,319384.6153846154,1109.6671393968254
1998-07-01,1998,Q3,66.6,5.533333333333334,153000.0,12099.191,126500.33333333333,163.36666666666667,4.533333333333333,103.5,8813.633333333333,1613.6666666666667,316230.76923076925,1085.080779125
1998-10-01,1998,Q4,66.5,4.86,153000.0,12294.737,127260.33333333333,164.13333333333333,4.433333333333334,100.2,8883.4,1711.0,313923.07692307694,1121.62702753125
1999-01-01,1999,Q1,66.7,4.733333333333333,157400.0,12410.778,128016.33333333333,164.73333333333332,4.3,105.89999999999999,8980.4,1705.6666666666667,311384.6153846154,1260.492625770492
1999-04-01,1999,Q2,66.7,4.746666666666667,158700.0,12514.408,128831.33333333333,165.96666666666667,4.266666666666667,106.23333333333333,8991.066666666668,1647.3333333333333,301384.6153846154,1329.6433376984126
1999-07-01,1999,Q3,66.8,5.093333333333334,159100.0,12679.977,129585.0,167.20000000000002,4.233333333333333,105.89999999999999,9059.800000000001,1634.6666666666667,293153.8461538461,1341.986724859375
1999-10-01,1999,Q4,66.9,5.306666666666667,165300.0,12888.281,130471.66666666667,168.43333333333334,4.066666666666666,105.26666666666667,9181.0,1668.0,284076.92307692306,1374.09875109375
2000-01-01,2000,Q1,67.1,5.676666666666667,165300.0,12935.252,131241.66666666666,170.1,4.033333333333333,110.13333333333333,9341.533333333333,1690.0,285846.1538461539,1420.001426079365
2000-04-01,2000,Q2,67.3,6.273333333333333,163200.0,13170.749,132018.0,171.4333333333333,3.9333333333333336,108.76666666666667,9452.966666666665,1570.6666666666667,280846.1538461539,1446.5936492857143
2000-07-01,2000,Q3,67.5,6.52,168800.0,13183.89,132273.0,173.0,4.0,107.46666666666665,9575.433333333332,1554.6666666666667,301928.5714285714,1475.9788876825396
2000-10-01,2000,Q4,67.5,6.473333333333334,172900.0,13262.25,132538.66666666666,174.23333333333335,3.9,103.93333333333334,9634.933333333332,1578.0,328538.46153846156,1366.3103123809524
2001-01-01,2001,Q1,67.6,5.593333333333334,169800.0,13219.251,132744.66666666666,175.9,4.233333333333333,92.26666666666667,9713.366666666667,1671.3333333333333,367769.23076923075,1273.3290385645162
2001-04-01,2001,Q2,67.8,4.326666666666667,179000.0,13301.394,132390.66666666666,177.13333333333333,4.3999999999999995,91.0,9688.433333333332,1652.3333333333333,396230.76923076925,1234.2503139206349
2001-07-01,2001,Q3,67.9,3.4966666666666666,172500.0,13248.142,131992.0,177.63333333333333,4.833333333333333,88.56666666666666,9899.766666666668,1592.6666666666667,412230.76923076925,1153.7066133220337
2001-10-01,2001,Q4,67.9,2.1333333333333333,171100.0,13284.881,131192.66666666666,177.5,5.5,85.13333333333334,9735.366666666667,1632.3333333333333,445923.07692307694,1115.367660515625
2002-01-01,2002,Q1,67.9,1.7333333333333334,188700.0,13394.91,130768.33333333333,178.0666666666667,5.7,93.13333333333333,9963.933333333332,1714.3333333333333,408230.76923076925,1132.2148336333335
2002-04-01,2002,Q2,67.8,1.75,187200.0,13477.356,130647.0,179.46666666666667,5.833333333333333,94.10000000000001,10044.533333333333,1714.3333333333333,406846.1538461539,1070.1500025
2002-07-01,2002,Q3,67.9,1.74,178100.0,13531.741,130559.33333333333,180.4333333333333,5.733333333333333,87.26666666666665,10059.466666666667,1745.3333333333333,396153.8461538461,895.48859690625
2002-10-01,2002,Q4,68.2,1.4433333333333334,190100.0,13549.421,130571.66666666667,181.5,5.866666666666667,83.83333333333333,10123.4,1822.0,403692.3076923077,886.528284984375
2003-01-01,2003,Q1,68.1,1.25,186000.0,13619.434,130418.66666666667,183.36666666666667,5.866666666666667,79.96666666666667,10117.566666666668,1806.3333333333333,412384.6153846154,860.7601638196721
2003-04-01,2003,Q2,68.2,1.2466666666666668,191800.0,13741.107,130189.0,183.0666666666667,6.133333333333333,89.26666666666667,10244.6,1837.6666666666667,427076.92307692306,937.9946018095237
2003-07-01,2003,Q3,68.3,1.0166666666666666,191900.0,13970.157,130198.0,184.4333333333333,6.133333333333333,89.3,10424.1,1937.3333333333333,402230.76923076925,1000.380469375
